DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
100% Capoeira: Discover The Legendary Capoeira With The Senzala Group|BayView Films||Out|2.0|4:3|29.99|NR|2013|Special Interest|1.33:1|874482005101|2013-11-26 00:00:00|252090|2013-11-26 00:00:00|1
13 Cold Blooded Eagles|Tai Seng||Discontinued|DUB|LBX|14.95|NR|1993|Action/Adventure|1.66:1|601643299747|2001-03-13 00:00:00|10068|2013-11-27 00:00:00|1
15 Minute Gentle Yoga (2008/ Book w/ DVD)|DK Publishing||Out|2.0|4:3|24.5|NR|2008|Special Interest|1.33:1|9781405326575|2008-01-10 00:00:00|198196|2013-11-27 00:00:00|1
18 Bronzemen|Tai Seng||Discontinued|SUB|4:3|14.95|NR|1976|Action/Adventure|1.33:1|601643000244|2002-03-19 00:00:00|16066|2013-11-27 00:00:00|1
18 Bronzemen 2|Tai Seng||Discontinued|SUB|4:3|14.95|NR|1976|Action/Adventure|1.33:1|601641103244|2002-03-19 00:00:00|16067|2013-11-27 00:00:00|1
18 Secrets Of Kung Fu|Tai Seng||Discontinued|2.0|4:3|7.95|NR|1988|Action/Adventure|1.33:1|601643778143|2000-08-29 00:00:00|7146|2013-11-27 00:00:00|1
2 Become 1 (Special Edition)|Tai Seng||Discontinued|SUB|LBX, 16:9|19.95|NR|2006|Foreign|1.85:1|112117753028|2006-07-25 00:00:00|86276|2013-11-27 00:00:00|1
2 Young|Tai Seng||Discontinued|2.0|4:3|19.95|NR|2006|Foreign|1.33:1|601641709545|2006-03-28 00:00:00|79257|2013-11-27 00:00:00|1
2013 World Series Film|A&E Video||Out|2.0|LBX, 16:9|29.98|NR|2013|Sports|1.78:1|031398179146|2013-11-26 00:00:00|251919|2013-11-26 00:00:00|1
2013 World Series Film (Blu-ray)|A&E Video||Out|2.0|LBX, 16:9, BLU-RAY|34.99|NR|2013|Sports|1.78:1|031398179443|2013-11-26 00:00:00|251951|2013-11-26 00:00:00|1
4 Film Favorites (2-Disc): Eddie Murphy Family: A Thousand Words / Imagine That / Dreamgirls / Adventures Of Pluto Nash|Warner Brothers|2014-03-11 00:00:00|Pending|5.1|LBX, 16:9|14.99|VAR|VAR|VAR|VAR|883929394081|2014-03-11 00:00:00|256435|2013-11-26 00:00:00|0
49 Days (2006/ Tai Seng)|Tai Seng||Discontinued|SUB|LBX|19.95|NR|2006|Foreign|1.85:1|112117751024|2006-08-29 00:00:00|89498|2013-11-27 00:00:00|1
6 AM|Tai Seng||Discontinued|SUB|LBX, 16:9|14.95|NR|2004|Action/Adventure|1.85:1|601641642545|2005-07-26 00:00:00|65030|2013-11-27 00:00:00|1
72 Desperate Rebels|Tai Seng||Discontinued|1.0|4:3|7.95|NR|1980|Action/Adventure|1.33:1|601643722948|2000-10-24 00:00:00|8047|2013-11-27 00:00:00|1
72 Tenants Of Prosperity|Tai Seng||Discontinued|SUB|LBX, 16:9|19.95|NR|2010|Foreign|2.35:1|112121346018|2010-05-25 00:00:00|181227|2013-11-27 00:00:00|1
8 Avatar|Tai Seng||Discontinued|SUB|4:3|59.95|NR|UNK|Foreign|1.33:1|312720503014|2010-02-23 00:00:00|175295|2013-11-27 00:00:00|1
97 Aces Go Places|Tai Seng||Discontinued|SUB|LBX|14.95|NR|1997|Foreign|1.85:1|601643544847|2003-06-17 00:00:00|27335|2013-11-27 00:00:00|1
99 Cycling Swords|Tai Seng||Discontinued|1.0|4:3|7.95|NR|1980|Action/Adventure|1.33:1|601643809441|2000-10-24 00:00:00|8048|2013-11-27 00:00:00|1
A.C.T For Children: Assisting Children Through Transition (DVD-ROM)|Routledge||Out|2.0|4:3|50|NR|2013|Special Interest|1.33:1|9780415841740|2013-11-28 00:00:00|239116|2013-11-26 00:00:00|1
A.F.R.I.K.A. (a.k.a. Afrika/ Special Edition)|Tai Seng||Discontinued|5.1|LBX|9.95|NR|2002|Action/Adventure|1.85:1|601641298742|2003-08-19 00:00:00|29444|2013-11-27 00:00:00|1
Accel World: Set 1|Viz Entertainment||Out|SUB|LBX, 16:9|44.82|MA17|2012|Anime|1.85:1|782009242901|2013-11-26 00:00:00|250967|2013-11-26 00:00:00|1
Accel World: Set 1 (Blu-ray)|Viz Entertainment||Out|SUB|LBX, 16:9, BLU-RAY|54.97|MA17|2012|Anime|1.85:1|782009242918|2013-11-26 00:00:00|250980|2013-11-26 00:00:00|1
Action: Cognitive-Behavioral Treatment For Depressed Youth And Their Parents (DVD-ROM)|Routledge||Out|2.0|4:3|200|NR|2013|Special Interest|1.33:1|9780415841771|2013-11-28 00:00:00|239121|2013-11-26 00:00:00|1
Addicted (Special Edition)|Tai Seng||Discontinued|5.1|LBX, 16:9|14.95|R|2002|Foreign|1.85:1|601641644747|2005-11-15 00:00:00|71538|2013-11-27 00:00:00|1
ADHD And Mania: What Should You Know? Why Should You Care? (DVD-ROM)|Routledge||Out|2.0|4:3|40|NR|2013|Special Interest|1.33:1|9780415841535|2013-11-28 00:00:00|239100|2013-11-26 00:00:00|1
Adolescents, Anxiety, And The Tasks Of Development (DVD-ROM)|Routledge||Out|2.0|4:3|90|NR|2013|Special Interest|1.33:1|9780415841498|2013-11-28 00:00:00|239133|2013-11-26 00:00:00|1
Adult EEG: An Interactive Reading Session (DVD-ROM)|Demos Medical Publishing||Out|2.0|4:3|110|NR|2013|Special Interest|1.33:1|9781620700228|2013-11-28 00:00:00|242537|2013-11-26 00:00:00|1
